"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"855",26,14,0,2,24,13.7,0.42,-0.87,2.87,1.05,1,2,0,-1,-1,3,0,0,0,0,0,0,0,0,1,1,1,1,4,33,0,1,1,1,1,0,0,1,0,0,9,4,1,0,1,1,3,2,0,1,0,1,16,3,202.45,0,2,1,3.2,1.16,8.25,0,0,2.3,0,2.82,1,26.3,39.1,0,0,2.17,0,1.61,0,0,2.64,0,2.7,0,0,0,0,0,0,0,1,1,24,1,0,1,0,1,1,1,0,0,0,0,0,"5","1","March","6","0","3","2","1","13","0","2","2","3","3","2","high_spend_cust"
"856",22,17,0,0,20,8.4,0.71,-0.35,0.97,-0.03,1,1,0,-1,-1,1,5,0,0,0,0,0,0,5,0,0,-1,0,4,21,0,0,0,1,0,1,0,0,0,0,2,5,1,0,0,3,3,4,0,4,1,4,9,7,159.03,1,15,0,5.3,1.67,71.6,1,20,3,305,5.72,0,0,0,1,16.5,2.8,230,5.44,1,24.6,3.2,333.35,5.81,0,1,0,1,0,1,0,0,1,20,1,1,1,0,1,1,1,0,0,0,1,0,"2","1","April","1","0","2","1","-1","-1","-1","1","3","2","1","1","medium_spend_cust"
"858",66,13,0,3,36,8.9,1.04,0.04,2.17,0.77,0,2,0,-1,-1,1,1,0,1,0,0,0,0,0,0,2,0,1,1,29,1,1,0,0,0,0,1,1,0,0,1,4,1,0,1,4,3,1,0,11,0,9,5,2,38.57,0,32,0,3.9,1.36,147.65,0,0,2.48,0,5.85,0,0,0,1,34,3.53,1015,6.92,0,0,2.68,0,6.32,0,0,0,0,0,0,0,0,1,24,1,1,1,0,1,1,1,0,0,0,0,0,"5","1","August","2","0","1","5","0","17.2","0","3","4","3","2","1","low_spend_cust"
"866",63,18,0,24,130,12.6,6.36,1.85,10.02,2.31,0,5,0,-1,-1,1,1,0,0,1,0,0,0,0,1,3,1,0,8,19,1,0,0,0,0,0,0,1,0,0,9,4,0,0,0,4,1,2,0,21,0,16,9,6,142.51,0,46,0,17.6,2.87,790.65,0,0,2.51,0,6.25,0,0,0,1,6,1.79,265,5.58,0,0,2.54,0,6.41,1,0,0,1,0,0,0,0,1,14,1,1,1,0,1,0,1,0,0,0,0,0,"1","0","November","6","0","2","5","1","60.5","0","2","2","4","2","3","low_spend_cust"
"867",21,16,0,0,38,5.5,1.45,0.37,0.64,-0.44,0,1,1,12,2,4,0,0,0,0,0,0,0,0,1,3,1,0,1,17,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0,3,4,4,0,3,0,3,12,8,316.48,1,10,0,5.35,1.68,52.1,0,0,2.42,0,4.71,1,25.7,226.7,1,15.5,2.74,130,4.87,0,0,2.68,0,4.83,0,0,0,1,0,1,0,0,1,18,1,1,1,0,1,0,0,0,1,0,0,0,"3","0","July","4","0","1","1","0","22.6","0","1","3","4","3","1","medium_spend_cust"
"870",48,20,0,3,226,12.7,6.06,1.8,22.65,3.12,1,1,1,17,4,2,1,0,1,0,0,0,0,0,1,2,1,0,1,32,1,0,0,0,0,0,0,0,0,0,2,6,1,0,1,1,1,3,0,21,0,11,9,3,280.09,1,41,1,10.85,2.38,463.2,1,49.75,3.91,2032.6,7.62,1,63.55,2518.45,1,16.5,2.8,655,6.48,1,91.15,4.51,3606.85,8.19,1,1,1,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,0,0,0,0,"3","0","March","2","0","1","4","1","76","0","4","4","3","1","4","medium_spend_cust"
"887",36,14,0,4,56,7.8,3.18,1.16,1.19,0.17,1,4,0,-1,-1,2,3,0,0,0,0,0,0,3,0,2,1,0,1,24,1,0,0,0,0,0,0,1,0,0,9,4,0,0,1,4,3,2,1,18,0,18,11,3,81.71,0,55,0,16.85,2.82,931.35,1,22,3.09,1184,7.08,0,0,0,1,8.5,2.14,420,6.04,0,0,2.69,0,6.64,1,0,0,1,1,1,0,0,1,23,1,1,1,0,0,1,1,0,0,0,0,0,"1","0","March","1","0","1","3","1","26","1","1","1","4","1","0","medium_spend_cust"
"889",71,15,1,4,39,2.2,0.36,-1.01,0.49,-0.71,0,2,0,-1,-1,1,2,2,0,0,0,0,0,0,0,1,1,1,5,27,0,0,0,0,1,0,0,0,0,1,1,4,1,0,1,3,1,2,0,36,0,26,9,4,172.16,0,69,0,17.35,2.85,1205.85,0,0,2.48,0,6.76,0,0,0,1,15.5,2.74,1055,6.96,0,0,2.89,0,7.11,1,0,0,0,1,0,0,1,1,16,1,1,1,0,1,0,0,0,1,0,0,0,"3","1","June","2","0","1","3","1","21.3","0","1","2","3","2","4","medium_spend_cust"
"892",51,12,1,7,42,14,0.55,-0.59,5.33,1.67,0,5,0,-1,-1,3,0,0,0,0,0,0,0,0,0,3,1,1,1,19,1,0,1,0,0,0,0,0,0,0,9,2,1,1,0,3,1,2,0,10,1,10,11,6,172.5,0,24,0,6.75,1.91,155,1,16.25,2.79,392.35,5.97,0,0,0,1,10.25,2.33,235,5.46,0,0,2.72,0,5.88,0,0,0,1,0,1,1,0,1,20,1,1,1,0,0,0,0,0,1,0,0,0,"3","1","November","1","0","2","2","0","19.7","0","1","4","3","1","0","medium_spend_cust"
"898",50,12,0,17,86,12.7,4.64,1.54,6.28,1.84,1,4,1,11,1,2,0,0,0,0,0,0,0,0,0,3,0,0,8,34,1,0,1,0,0,0,0,1,0,0,9,4,0,0,1,1,1,1,0,32,0,30,15,5,151.4,0,72,0,65.3,4.18,4849.75,0,0,2.28,0,6.41,0,0,0,1,40.75,3.71,2830,7.95,0,0,2.99,0,7.17,1,0,0,0,0,0,0,1,1,14,1,1,1,0,1,0,0,0,1,1,0,0,"5","1","May","6","0","2","4","1","37.3","0","4","3","3","3","1","medium_spend_cust"
"903",45,20,0,0,56,2,0.52,-0.65,0.6,-0.52,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,0,0,4,33,1,0,0,1,1,0,0,0,0,0,2,5,0,1,0,4,2,1,0,14,0,13,12,4,71.15,1,41,1,12.65,2.54,445.55,1,27.25,3.31,1169,7.06,1,41.3,1683.3,1,11.25,2.42,430,6.06,1,31.15,3.44,1324.1,7.19,1,0,1,1,1,0,1,1,1,23,1,1,1,0,1,1,1,1,0,0,0,0,"4","0","November","2","0","1","4","1","22.7","1","1","3","4","1","2","medium_spend_cust"
"909",79,10,0,35,11,9.6,0.12,-2.13,0.94,-0.06,0,4,1,10,1,2,2,0,0,0,0,0,0,2,0,2,0,0,1,24,1,0,0,1,0,0,0,1,0,0,4,5,0,0,0,3,2,1,0,38,0,29,5,0,0,0,70,0,28.45,3.35,1820.05,1,48,3.87,3284.9,8.1,0,0,0,1,37.5,3.62,2625,7.87,0,0,3.05,0,7.27,0,0,1,1,1,1,1,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0,"4","0","September","6","1","2","5","1","4.7","0","4","1","1","2","0","low_spend_cust"
"919",69,17,1,17,46,13.1,2.63,0.97,3.39,1.22,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,0,2,1,1,8,22,1,0,0,0,0,0,0,1,0,0,9,3,1,1,0,2,2,1,0,21,0,14,15,3,44.95,0,46,0,6.65,1.89,287,1,27.25,3.31,1287.25,7.16,0,0,0,1,8.5,2.14,375,5.93,0,0,2.93,0,6.68,1,1,1,1,1,1,1,0,1,18,1,1,1,0,1,0,0,0,1,0,0,0,"1","0","January","3","0","2","5","0","12.4","0","3","3","2","3","1","medium_spend_cust"
"920",34,19,1,2,52,4.3,0.8,-0.22,1.43,0.36,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,1,3,1,0,1,21,1,1,1,1,0,0,0,0,0,0,9,6,1,1,1,4,1,2,0,15,0,7,6,1,23.93,1,32,0,5.4,1.69,169.8,0,0,2.55,0,6.52,1,24.8,747.3,0,0,2.11,0,5.94,0,0,2.54,0,6.27,1,0,0,0,0,0,0,0,1,19,1,1,1,0,1,1,1,0,0,0,0,0,"1","0","April","6","0","1","3","0","28.3","1","2","4","3","1","3","low_spend_cust"
"924",48,20,0,8,212,14,10.45,2.35,19.23,2.96,1,5,1,20,5,2,1,1,0,0,0,0,0,0,1,2,1,0,8,24,0,0,0,0,0,0,0,1,1,0,9,6,0,1,1,4,4,4,0,29,0,26,10,3,97.81,0,65,0,10.75,2.37,712.35,1,25.25,3.23,1746.2,7.47,0,0,0,1,23.75,3.17,1525,7.33,0,0,2.95,0,7.23,1,0,0,1,1,1,1,0,1,28,1,1,1,0,0,0,0,0,0,0,0,0,"5","0","July","1","0","3","4","1","89.9","1","1","4","1","2","0","medium_spend_cust"
"929",45,20,0,3,58,14.2,1.93,0.66,6.31,1.84,0,2,1,17,4,5,7,2,1,1,0,0,0,3,0,1,1,0,8,20,0,0,0,1,0,0,1,1,0,0,9,6,0,0,1,4,1,4,0,3,0,5,13,5,82.99,1,13,1,6.55,1.88,72.8,0,0,2.46,0,4.2,1,33.05,408.95,0,0,2.56,0,4.17,0,0,2.82,0,4.6,1,1,0,1,0,1,0,1,1,24,1,1,1,0,1,1,0,0,0,0,1,1,"4","0","August","1","0","4","4","0","26","1","3","2","4","2","2","medium_spend_cust"
"958",23,17,0,0,39,27.9,2.82,1.04,8.06,2.09,1,2,1,12,2,4,8,1,0,0,0,0,0,7,0,2,1,0,1,13,1,0,1,0,0,0,0,0,0,1,9,4,1,0,0,4,2,1,0,5,0,5,7,5,98.81,1,25,1,14.05,2.64,354.25,1,19,2.94,505.9,6.23,1,41.35,1069.25,1,33.5,3.51,825,6.72,1,48,3.87,1156.2,7.05,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,0,1,0,0,0,0,"1","1","January","2","0","2","1","1","20.4","1","1","1","3","3","4","low_spend_cust"
"963",51,18,0,3,31,14.9,1.64,0.49,2.98,1.09,0,4,1,17,4,2,4,0,0,0,0,0,0,4,1,2,1,0,5,25,1,0,0,1,1,1,0,1,0,0,9,6,1,1,0,4,2,3,0,28,0,23,8,1,15.37,1,54,1,15.85,2.76,933.65,0,0,2.4,0,6.52,1,27.8,1462.1,1,16,2.77,895,6.8,0,0,3.18,0,7.28,1,0,0,0,0,0,0,0,1,18,1,1,1,0,1,0,0,0,0,0,0,0,"1","1","February","1","0","3","5","1","14.2","1","3","2","3","2","0","low_spend_cust"
"965",76,14,0,27,10,12.1,0.68,-0.39,0.53,-0.63,0,4,1,10,1,2,5,2,0,0,0,0,0,3,0,1,1,0,10,21,1,0,0,0,0,0,0,0,0,1,9,6,0,0,0,2,1,4,0,37,0,25,2,0,0,0,70,0,15.9,2.77,1143.2,0,0,2.48,0,6.68,0,0,0,1,40.25,3.7,2770,7.93,0,0,2.82,0,7.1,1,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,1,0,0,0,"1","1","December","5","1","2","5","1","5.9","1","3","3","2","2","0","low_spend_cust"
"968",42,16,0,5,92,5.1,2.31,0.84,2.38,0.87,0,2,1,12,2,2,3,1,0,0,0,0,0,2,1,3,1,0,1,26,1,0,0,0,1,0,0,0,1,0,2,6,1,1,0,4,1,4,0,17,0,13,12,5,146.45,0,36,0,14.85,2.7,569.85,0,0,2.51,0,6.1,1,32.3,1081.25,0,0,1.87,0,5.27,0,0,2.68,0,6.32,1,0,0,0,1,1,1,0,1,16,1,1,1,0,0,1,1,0,1,0,0,0,"2","1","March","1","0","3","3","0","45.6","0","1","2","4","3","0","medium_spend_cust"
"970",42,10,0,10,38,9.7,1.12,0.12,2.56,0.94,0,3,1,7,1,3,2,0,2,0,0,0,0,0,1,3,1,0,1,35,1,0,1,0,0,0,0,1,0,0,9,6,0,0,1,4,3,2,0,24,0,25,13,5,167.2,1,64,0,14.8,2.69,955.8,0,0,2.44,0,6.63,0,0,0,1,9,2.2,525,6.26,0,0,2.64,0,6.87,0,0,0,0,0,1,1,0,1,24,1,1,1,0,0,0,0,0,1,1,0,1,"3","0","May","3","0","1","4","1","14.9","0","3","4","1","3","0","medium_spend_cust"
"981",48,14,0,19,186,12.4,13.98,2.64,9.09,2.21,1,3,1,16,3,2,0,0,0,0,0,0,0,0,1,2,1,0,3,27,0,0,1,1,0,0,0,0,0,0,9,6,1,1,1,4,3,2,0,31,1,17,10,5,144.25,1,57,0,19.2,2.95,1067.95,1,29.75,3.39,1733.7,7.46,0,0,0,1,10.5,2.35,580,6.36,0,0,2.64,0,6.59,0,1,0,1,1,1,1,0,1,25,1,1,1,0,0,0,0,0,0,0,0,0,"2","1","March","6","0","1","4","0","91.7","0","1","1","1","3","0","medium_spend_cust"
"982",59,11,0,3,29,18.3,0.69,-0.37,4.62,1.53,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,1,2,0,0,1,30,1,0,0,0,0,0,0,1,0,0,2,3,0,0,0,3,3,2,0,22,1,15,9,3,44.72,0,44,0,14.7,2.69,634.65,0,0,2.74,0,6.53,0,0,0,1,19,2.94,815,6.7,0,0,2.54,0,6.34,1,0,0,0,0,0,0,0,1,19,1,1,1,0,0,0,0,0,0,0,0,0,"4","1","October","2","0","3","4","0","9.3","1","5","1","1","2","0","low_spend_cust"
"983",41,19,0,6,93,18.9,3.46,1.24,14.11,2.65,0,4,0,-1,-1,5,4,0,4,0,0,0,0,0,1,3,1,0,1,40,1,0,0,1,1,0,0,1,1,0,9,6,0,0,0,2,3,3,0,11,0,14,16,5,101.69,1,26,1,9.8,2.28,231.4,1,28,3.33,807.8,6.69,1,64.45,1533.45,1,16.5,2.8,450,6.11,1,77.45,4.35,1919.05,7.56,1,1,1,1,1,1,1,1,1,19,1,1,1,1,1,1,1,1,0,0,0,1,"5","0","May","2","0","3","4","0","43.1","0","4","3","4","1","3","medium_spend_cust"
"985",46,15,0,3,42,12.3,1.59,0.46,3.58,1.28,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,0,1,8,26,1,0,0,1,0,0,0,1,0,0,9,2,1,1,1,5,1,2,1,5,0,3,15,6,241.18,0,23,0,4.8,1.57,102.15,0,0,2.46,0,4.23,1,21.35,454.65,0,0,2.11,0,3.4,0,0,2.54,0,4.03,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,1,0,0,0,0,0,"4","0","February","2","0","1","4","1","17.9","0","1","2","1","2","0","medium_spend_cust"
"987",77,19,1,12,49,3.5,0.89,-0.11,0.82,-0.19,0,2,1,20,5,2,12,0,0,0,0,0,0,12,1,0,-1,1,3,24,0,0,1,0,0,0,0,0,0,0,9,4,0,0,0,4,1,4,0,12,0,10,7,3,51.72,1,32,0,7.3,1.99,228.95,1,25,3.22,810.15,6.7,0,0,0,1,14,2.64,510,6.23,1,32.2,3.47,1031.45,6.94,0,1,1,1,1,1,1,0,1,18,1,1,1,1,1,0,1,1,0,0,0,0,"1","1","October","5","0","1","2","-1","-1","-1","2","4","4","2","2","low_spend_cust"
"988",23,15,0,2,26,10.4,0.45,-0.8,2.25,0.81,0,3,0,-1,-1,4,1,0,1,0,0,0,0,0,1,1,1,1,4,25,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,3,3,3,0,5,0,5,10,4,92.91,1,15,1,6.6,1.89,104.15,0,0,2.44,0,5.36,1,31.65,408.9,1,17.75,2.88,225,5.42,0,0,2.82,0,5.54,1,0,0,0,0,0,0,1,1,19,1,1,1,0,1,1,1,0,0,0,0,0,"3","0","March","6","0","3","2","0","10.3","0","4","3","3","1","4","low_spend_cust"
"991",68,12,0,17,80,36.7,9.72,2.27,19.64,2.98,0,3,1,13,2,5,1,1,0,0,0,0,0,0,1,1,1,1,1,24,1,0,1,0,0,0,0,0,0,0,9,4,0,0,1,3,3,4,0,37,0,27,12,5,176.51,0,72,0,57.55,4.05,4268.65,0,0,2.66,0,6.73,0,0,0,1,12.75,2.55,900,6.8,0,0,3.04,0,7.39,1,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,1,0,1,0,0,0,"1","0","June","6","0","1","5","0","42.5","1","5","2","2","2","0","medium_spend_cust"
"997",65,22,0,4,73,10.9,1.11,0.1,6.85,1.92,0,4,0,-1,-1,3,5,1,1,0,3,0,0,0,1,2,1,0,1,19,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,4,1,3,0,28,0,16,14,7,168.77,1,52,1,13,2.56,650.3,1,29.5,3.38,1559.75,7.35,1,54.6,2692.95,1,31.75,3.46,1590,7.37,1,64.95,4.17,3308.85,8.1,1,1,1,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,1,0,0,0,"3","1","March","1","0","1","4","1","31.8","0","2","4","2","2","2","medium_spend_cust"
"1017",74,8,0,7,19,7.8,0.4,-0.92,1.08,0.08,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,27,1,0,1,0,0,0,0,0,1,0,9,4,0,0,1,2,4,2,0,33,0,23,8,7,135.01,0,63,0,12.25,2.51,757.55,0,0,2.71,0,6.9,0,0,0,1,22.25,3.1,1410,7.25,0,0,2.82,0,7.04,0,0,0,0,0,0,0,0,1,24,1,1,1,0,0,0,0,0,0,0,0,0,"4","1","October","2","0","1","5","1","9.3","0","3","4","2","2","0","low_spend_cust"
"1018",61,13,0,32,180,14,13.89,2.63,11.31,2.43,1,5,1,15,3,3,15,1,1,0,0,0,0,13,1,2,1,0,1,25,1,0,1,1,1,1,0,1,0,0,9,6,1,0,1,2,4,1,0,35,0,28,16,9,275.35,1,71,0,31.55,3.45,2231.4,1,49.25,3.9,3653.3,8.2,0,0,0,1,29.5,3.38,2040,7.62,0,0,2.98,0,7.29,1,0,0,1,1,1,1,0,1,16,1,1,1,0,0,0,0,0,1,1,0,0,"5","0","December","6","0","1","4","0","79.3","1","5","2","4","1","0","medium_spend_cust"
"1023",40,16,0,4,31,8.1,1.45,0.37,1.06,0.06,0,3,1,16,3,3,2,0,1,1,0,0,0,0,0,2,1,0,4,32,1,0,0,1,1,0,1,1,1,0,9,6,1,0,1,3,1,4,0,1,0,1,9,3,97.87,0,5,1,5.55,1.71,26.95,0,0,2.53,0,4.1,1,29.25,115.85,0,0,2.22,0,3.56,1,23.65,3.16,67.75,4.22,0,0,0,0,1,0,0,1,1,14,1,1,0,0,1,1,0,0,0,0,0,0,"5","1","April","2","0","2","3","0","14.6","0","5","4","1","3","4","medium_spend_cust"
"1025",75,20,1,10,68,13.8,3.14,1.15,6.24,1.83,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,23,1,0,0,1,1,0,1,0,0,0,2,6,0,0,1,4,1,2,0,14,0,10,11,5,114.1,0,21,0,11.05,2.4,194,0,0,2.28,0,5.29,1,34.75,768.3,0,0,1.61,0,3.91,1,30.05,3.4,607.15,6.41,1,1,1,0,0,0,0,1,1,15,1,1,1,1,1,1,1,1,0,0,0,0,"1","1","April","1","0","2","4","0","37","0","2","3","2","2","4","medium_spend_cust"
"1027",40,12,0,5,29,8.4,0.64,-0.45,1.8,0.59,0,2,0,-1,-1,2,0,0,0,0,0,0,0,0,0,1,1,1,5,24,0,0,0,0,1,0,1,0,0,0,9,4,0,0,0,2,2,3,0,14,0,9,13,9,267.08,0,29,0,5.15,1.64,164.45,1,34.25,3.53,1007.85,6.92,0,0,0,1,13.75,2.62,380,5.94,1,25.7,3.25,692.3,6.54,1,1,1,1,1,1,1,0,1,12,1,1,1,0,1,1,0,1,0,0,0,0,"4","1","September","2","0","2","3","1","19.7","0","5","4","2","1","0","medium_spend_cust"
"1028",18,13,1,0,17,4.8,0.11,-2.18,0.7,-0.35,0,1,0,-1,-1,2,0,0,0,0,0,0,0,0,0,2,1,0,1,27,1,0,0,0,0,0,0,1,0,1,9,5,0,1,0,3,1,3,0,0,1,0,13,6,56.69,0,12,0,4.75,1.56,54.2,1,13.25,2.58,166.8,5.12,0,0,0,0,0,1.75,0,3.69,0,0,2.72,0,5.1,0,0,0,1,0,0,0,0,1,25,0,1,1,0,0,0,1,0,0,0,0,0,"4","0","October","2","0","2","1","0","8.1","0","2","3","3","3","0","low_spend_cust"
"1030",66,10,0,6,13,14.7,0.61,-0.5,1.3,0.26,0,2,1,11,1,2,0,0,0,0,0,0,0,0,0,2,0,1,1,30,1,0,0,0,0,1,0,0,0,0,9,1,1,1,1,4,1,3,0,28,0,24,7,3,35.55,0,61,0,15.95,2.77,1004.1,1,24,3.18,1434.85,7.27,0,0,0,1,15.25,2.72,860,6.76,0,0,2.89,0,6.86,0,0,0,1,0,0,0,0,1,20,1,1,1,0,0,0,0,0,1,0,0,0,"2","1","November","1","1","2","4","1","5.7","0","2","4","1","2","0","low_spend_cust"
"1031",70,20,0,19,21,7.5,0.05,-3.05,1.53,0.42,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,1,4,16,0,0,0,1,0,1,1,1,0,0,1,4,0,0,0,4,1,2,0,26,0,14,8,2,26.42,1,41,0,5.8,1.76,203.85,1,22.25,3.1,878.7,6.78,0,0,0,0,0,1.98,0,5.58,1,34.3,3.54,1419.15,7.26,1,1,1,1,0,1,1,1,1,23,1,1,1,1,1,1,1,1,0,0,1,0,"2","1","March","3","1","3","4","0","11.4","0","3","4","1","2","1","low_spend_cust"
"1034",29,12,1,4,22,1.2,0.15,-1.9,0.11,-2.17,0,1,0,-1,-1,1,2,0,0,2,0,0,0,0,0,1,1,0,1,16,1,0,0,1,0,0,0,0,0,0,9,5,1,0,0,2,3,3,0,7,0,8,7,1,25.07,1,22,0,8.4,2.13,163.6,0,0,2.69,0,5.88,0,0,0,1,9,2.2,195,5.27,0,0,2.64,0,5.74,0,0,0,0,0,0,0,0,1,24,1,1,1,0,1,0,1,0,0,0,0,0,"3","1","December","3","0","2","2","0","11.1","1","4","2","2","1","0","low_spend_cust"
"1035",58,12,0,29,242,8.7,7.41,2,13.64,2.61,0,5,1,14,2,4,4,0,0,0,0,0,0,4,1,3,1,0,1,38,1,0,0,0,1,0,0,0,0,0,9,4,1,0,0,1,3,2,0,31,1,19,8,6,422.01,0,61,0,13.45,2.6,798.3,1,21,3.04,1273.9,7.15,0,0,0,1,9.25,2.22,555,6.32,0,0,2.69,0,6.84,0,0,0,0,0,1,1,0,1,24,1,1,1,0,0,0,0,0,1,0,0,0,"5","0","May","5","0","1","5","0","94.2","1","4","4","1","2","0","medium_spend_cust"
"1038",68,15,0,12,9,11.3,0.11,-2.18,0.9,-0.1,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,0,6,0,0,1,40,1,0,0,0,0,1,0,1,0,0,9,3,1,1,1,4,2,1,0,30,0,22,2,0,0,0,63,0,23.4,3.15,1506.75,0,0,2.72,0,6.74,0,0,0,1,18.75,2.93,1195,7.09,0,0,2.89,0,7.01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"2","1","February","5","1","2","5","1","3.5","1","3","3","4","3","4","low_spend_cust"
"1042",57,17,1,28,70,9.6,0.75,-0.28,5.97,1.79,0,5,0,-1,-1,1,2,0,1,0,0,1,0,0,0,1,1,1,3,33,0,0,1,0,1,0,0,0,0,0,9,4,0,0,0,2,1,3,0,33,0,26,8,4,105.9,0,69,0,16.6,2.81,1186.2,0,0,2.9,0,7.22,1,52,3505.5,1,22.75,3.12,1610,7.38,1,48,3.87,3261.8,8.09,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,0,1,1,1,0,0,0,"2","0","December","4","0","1","4","1","31.8","0","3","4","3","2","2","low_spend_cust"
"1051",32,19,0,3,47,5,0.75,-0.28,1.6,0.47,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,1,1,1,25,1,1,0,0,1,0,0,1,1,0,9,4,1,0,1,1,1,3,0,1,0,1,14,5,489.77,1,1,1,3.3,1.19,3.3,1,16.25,2.79,16.25,2.79,1,31.1,31.1,0,0,2.3,0,2.35,0,0,2.54,0,2.7,0,0,0,1,1,0,1,1,1,11,1,1,1,0,1,1,1,0,0,1,0,0,"5","1","October","1","0","2","3","0","26","0","3","2","2","1","3","high_spend_cust"
"1054",19,13,0,0,14,14.7,0.85,-0.16,1.21,0.19,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,22,1,0,1,0,0,1,0,0,0,0,9,3,1,0,0,5,4,4,0,1,0,1,9,2,43.41,1,7,1,3.15,1.15,24.8,1,20,3,128.7,4.86,1,24.5,122.8,1,8,2.08,45,3.81,0,0,2.82,0,4.29,0,1,0,0,1,1,0,0,1,16,1,1,1,0,1,1,1,0,0,0,0,1,"1","1","January","2","0","2","1","0","6.5","0","2","2","4","1","2","medium_spend_cust"
"1056",36,17,0,7,43,7.5,0.79,-0.24,2.43,0.89,0,2,1,13,2,4,0,0,0,0,0,0,0,0,1,3,1,1,1,18,1,0,0,0,0,0,0,0,0,1,9,2,1,1,0,1,2,2,1,18,0,18,9,7,309.76,0,64,0,13.15,2.58,832.25,0,0,2.86,0,7.06,1,35,2248.55,1,45.5,3.82,2810,7.94,0,0,3.13,0,7.49,1,0,0,0,0,0,1,0,1,18,1,1,1,0,1,1,0,0,1,0,0,0,"1","0","February","6","0","1","3","0","17.5","0","2","2","1","3","1","medium_spend_cust"
"1059",30,17,0,0,36,7.8,0.77,-0.27,2.04,0.71,1,1,0,-1,-1,1,1,0,1,0,0,0,0,0,1,1,1,0,3,21,0,1,1,0,0,0,0,0,0,0,2,4,0,0,0,4,4,4,0,2,1,3,8,6,231.83,0,4,1,4.9,1.59,16.45,1,20.5,3.02,96.95,4.57,0,0,0,0,0,1.75,0,1.61,1,25.95,3.26,74.9,4.32,0,0,0,1,1,1,0,1,1,16,1,1,1,0,1,1,0,0,0,0,1,0,"1","1","September","2","0","1","3","1","15.9","0","1","1","4","3","2","medium_spend_cust"
"1062",57,12,0,23,62,13.7,5.49,1.7,3.01,1.1,0,4,1,16,3,2,9,1,0,0,0,0,0,8,1,3,1,0,1,35,1,0,1,0,1,0,1,0,1,0,9,5,0,0,1,4,1,4,0,28,0,18,11,5,89.63,1,52,0,15.3,2.73,826.6,0,0,2.35,0,6.25,0,0,0,1,19.75,2.98,930,6.84,0,0,2.88,0,6.75,0,0,0,1,0,0,0,0,1,18,1,1,1,0,0,0,0,0,0,0,0,1,"5","0","June","6","0","3","3","0","35","1","2","4","2","3","0","medium_spend_cust"
"1063",21,16,0,0,21,9.2,1.07,0.06,0.87,-0.14,0,1,0,-1,-1,1,6,0,0,0,0,0,0,6,0,4,1,0,1,31,1,0,0,0,1,0,1,0,0,0,9,5,1,1,1,4,1,1,0,3,0,3,8,6,147.87,1,27,1,7.9,2.07,243.4,0,0,2.35,0,5.41,1,46.2,1185.55,0,0,1.98,0,5.14,1,38.2,3.64,901.55,6.8,1,1,1,1,1,0,0,1,1,17,1,1,1,1,1,1,1,0,1,0,0,0,"2","0","November","2","0","2","1","1","15","1","2","1","4","1","4","low_spend_cust"
